,rli_anlagen_id,p_nenn,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26,source,modificationtimestamp
0,AN BONUS 31,300.0,0.0,,0.0,,0.0,,0.0,,0.132,,0.376,,0.461,,0.481,,0.467,,0.436,,0.397,,0.356,,0.311,,0.27,,0.229,,0.19,,0.16,,0.135,,0.114,,0.096,,0.08,,0.065,,0.053,,0.043,,0.036,,0.031,0.0,,EMD Windpro,2013-11-21 11:51:06
1,AN BONUS 44,600.0,0.0,,0.0,,0.0,,0.155,,0.356,,0.423,,0.414,,0.409,,0.424,,0.414,,0.388,,0.35,,0.31,,0.268,,0.226,,0.19,,0.16,,0.133,,0.109,,0.089,,0.073,,0.061,,0.051,,0.044,,0.037,,0.031,0.0,,EMD Windpro,2013-11-21 11:51:06
2,AN BONUS 54,1000.0,0.0,,0.0,,0.0,,0.076,,0.26,,0.387,,0.418,,0.434,,0.444,,0.44,,0.422,,0.388,,0.342,,0.296,,0.25,,0.208,,0.173,,0.144,,0.121,,0.103,,0.088,,0.076,,0.066,,0.058,,0.051,,0.045,0.0,,EMD Windpro,2013-11-21 11:51:06
3,AN BONUS 82,2300.0,0.0,,0.0,,0.0,,0.088,,0.249,,0.362,,0.408,,0.425,,0.436,,0.443,,0.434,,0.407,,0.362,,0.306,,0.253,,0.208,,0.172,,0.143,,0.121,,0.103,,0.088,,0.076,,0.066,,0.058,,0.051,,0.045,0.0,,EMD Windpro,2013-11-21 11:51:06
4,NEG MICON NM 60 1000,1000.0,0.0,,0.0,,0.0,,0.036,,0.331,,0.388,,0.38,,0.443,,0.45,,0.428,,0.383,,0.33,,0.292,,0.251,,0.215,,0.178,,0.147,,0.121,,0.1,,0.083,,0.069,0.0,0,,0,,0,,0,,0,,,EMD Windpro,2013-11-21 11:51:07
5,DEWIND D8 2000,2000.0,0.0,,0.0,,0.0,,0.0,,0.259,,0.377,,0.415,,0.433,,0.439,,0.439,,0.429,,0.4,,0.348,,0.289,,0.236,,0.192,,0.159,,0.132,,0.111,,0.095,,0.081,,0.07,,0.061,,0.053,,0.047,,0.042,0.0,,EMD Windpro,2013-11-21 11:51:06
6,FUHRLÄNDER FL 54 1000,1000.0,0.0,,0.0,,0.0,,0.0,,0.271,,0.368,,0.365,,0.409,,0.437,,0.444,,0.415,,0.367,,0.323,,0.289,,0.251,,0.213,,0.18,,0.149,,0.125,,0.105,,0.09,,0.077,,0.066,,0.057,,0.05,,0.044,0.0,,EMD Windpro,2013-11-21 11:51:06
7,FUHRLÄNDER MD 70,1500.0,0.0,,0.0,,0.0,,0.0,,0.192,,0.332,,0.379,,0.376,,0.408,,0.415,,0.415,,0.401,,0.357,,0.289,,0.232,,0.189,,0.155,,0.13,,0.109,,0.093,,0.08,,0.069,,0.06,,0.052,,0.046,,0.041,0.0,,EMD Windpro,2013-11-21 11:51:06
8,FUHRLANDER FL 80 2500,2500.0,0.0,,0.0,,0.0,,0.0,,0.145,,0.325,,0.394,,0.414,,0.422,,0.428,,0.429,,0.418,,0.39,,0.35,,0.294,,0.241,,0.198,,0.165,,0.139,,0.118,,0.102,,0.088,,0.076,,0.067,,0.059,,0.052,0.0,,EMD Windpro,2013-11-21 11:51:06
9,FUHRLANDER FL 90 2500,2500.0,0.0,,0.0,,0.0,,0.0,,0.151,,0.329,,0.396,,0.418,,0.436,,0.444,,0.431,,0.408,,0.358,,0.292,,0.234,,0.19,,0.157,,0.131,,0.11,,0.094,,0.08,,0.069,,0.06,,0.053,,0.046,,0.041,0.0,,EMD Windpro,2013-11-21 11:51:06
10,GAMESA G 52 850,850.0,0.0,,0.0,,0.0,,0.0,,0.335,,0.401,,0.438,,0.455,,0.461,,0.459,,0.434,,0.395,,0.347,,0.294,,0.238,,0.193,,0.16,,0.133,,0.112,,0.095,,0.082,,0.071,,0.061,,0.054,,0.047,,0.042,0.036,,EMD Windpro,2013-11-21 11:51:07
11,GAMESA G 80 2000,2000.0,0.0,,0.0,,0.0,,0.0,,0.336,,0.395,,0.421,,0.433,,0.438,,0.436,,0.421,,0.39,,0.342,,0.286,,0.234,,0.192,,0.159,,0.132,,0.111,,0.095,,0.081,,0.07,,0.061,,0.053,,0.047,,0.042,0.0,,EMD Windpro,2013-11-21 11:51:07
12,GAMESA G 87 2000,2000.0,0.0,,0.0,,0.0,,0.0,,0.339,,0.398,,0.426,,0.44,,0.446,,0.443,,0.42,,0.375,,0.312,,0.249,,0.2,,0.163,,0.134,,0.112,,0.094,,0.08,,0.069,,0.059,,0.052,,0.045,,0.04,,0.035,0.0,,EMD Windpro,2013-11-21 11:51:07
13,GAMESA G 90 2000,2000.0,0.0,,0.0,,0.0,,0.2,,0.341,,0.404,,0.432,,0.445,,0.452,,0.449,,0.423,,0.366,,0.293,,0.233,,0.187,,0.152,,0.125,,0.104,,0.088,,0.075,,0.064,,0.055,,0.046,,0.035,,0.027,,0.02,0.0,,EMD Windpro,2013-11-21 11:51:07
14,"GE 1,5 S",1500.0,0.0,,0.0,,0.0,,0.0,,0.183,,0.311,,0.381,,0.398,,0.426,,0.432,,0.427,,0.411,,0.357,,0.286,,0.229,,0.186,,0.153,,0.128,,0.108,,0.091,,0.078,,0.068,,0.059,,0.052,,0.045,,0.04,0.0,,EMD Windpro,2013-11-21 11:51:07
15,"GE 1,5 SLE",1500.0,0.0,,0.0,,0.0,,0.0,0.164,0.236,0.319,0.367,0.39,0.406,0.416,0.425,0.433,0.438,0.448,0.444,0.434,0.414,0.389,0.358,0.323,0.291,0.263,0.236,0.212,0.191,0.173,0.156,0.141,0.128,0.117,0.107,0.098,0.09,0.083,0.077,0.071,0.066,0.061,0.057,0.053,0.049,0.046,0.043,0.041,0.038,0.036,0.034,0.0,,EMD Windpro,2013-11-21 11:51:07
16,"GE 2,3",2300.0,0.0,,0.0,,0.0,,0.07,,0.261,,0.352,,0.395,,0.418,,0.429,,0.436,,0.419,,0.373,,0.308,,0.246,,0.197,,0.16,,0.132,,0.11,,0.093,,0.079,,0.068,,0.058,,0.051,,0.044,,0.039,,0.035,0.0,,EMD Windpro,2013-11-21 11:51:07
17,"GE 2,5 XL",2500.0,0.0,,0.0,,0.0,,0.015,0.179,0.296,0.34,0.368,0.386,0.398,0.408,0.415,0.42,0.424,0.427,0.429,0.426,0.411,0.389,0.36,0.328,0.296,0.264,0.236,0.211,0.189,0.17,0.154,0.14,0.127,0.116,0.106,0.097,0.089,0.082,0.076,0.07,0.065,0.06,0.056,0.052,0.049,0.046,0.043,0.04,0.038,0.035,0.033,0.0,,EMD Windpro,2013-11-21 11:51:07
18,"GE 1,6",1600.0,0.0,,0.0,,0.0,,0.008,0.078,0.263,0.372,0.431,0.472,0.485,0.487,0.49,0.485,0.471,0.444,0.407,0.368,0.327,0.286,0.251,0.221,0.195,0.172,0.153,0.137,0.123,0.11,0.1,0.09,0.082,0.075,0.069,0.063,0.058,0.053,0.049,0.045,0.042,0.039,0.036,0.034,0.032,0.03,0.028,0.026,0.024,0.023,0.022,0.0,,EMD Windpro,2013-11-21 11:51:07
19,"GE 2,75",2750.0,0.0,,0.0,,0.0,,0.123,0.251,0.318,0.363,0.393,0.415,0.426,0.435,0.441,0.445,0.448,0.448,0.445,0.434,0.415,0.388,0.359,0.331,0.302,0.274,0.247,0.221,0.199,0.179,0.161,0.146,0.133,0.121,0.111,0.102,0.093,0.086,0.079,0.073,0.068,0.063,0.059,0.055,0.051,0.048,0.045,0.042,0.039,0.037,0.035,0.0,,EMD Windpro,2013-11-21 11:51:07
20,NEG MICON NM 72C 1500,1500.0,0.0,,0.0,,0.0,,0.018,,0.328,,0.417,,0.426,,0.422,,0.453,,0.452,,0.425,,0.377,,0.324,,0.264,,0.214,,0.178,,0.147,,0.122,,0.103,,0.088,,0.075,,0.065,,0.056,,0.049,,0.044,,0.038,0.0,,EMD Windpro,2013-11-21 11:51:07
21,NORDEX N 62,1300.0,0.0,,0.0,,0.0,,0.0,,0.169,,0.35,,0.398,,0.355,,0.407,,0.424,,0.411,,0.376,,0.33,,0.287,,0.246,,0.207,,0.172,,0.142,,0.117,,0.097,,0.081,,0.069,,0.059,,0.051,,0.045,,0.039,0.0,,EMD Windpro,2013-11-21 11:51:08
22,NORDEX S 70 1500,1500.0,0.0,,0.0,,0.0,,0.0,,0.159,,0.295,,0.373,,0.407,,0.44,,0.428,,0.431,,0.409,,0.35,,0.29,,0.232,,0.189,,0.155,,0.13,,0.109,,0.093,,0.08,,0.069,,0.06,,0.052,,0.046,,0.041,0.0,,EMD Windpro,2013-11-21 11:51:08
23,NORDEX S 77 1500,1500.0,0.0,,0.0,,0.0,,0.0,,0.241,,0.367,,0.396,,0.409,,0.411,,0.411,,0.39,,0.351,,0.299,,0.239,,0.192,,0.156,,0.128,,0.107,,0.09,,0.077,,0.066,,0.057,,0.049,,0.043,,0.038,,0.034,0.0,,EMD Windpro,2013-11-21 11:51:08
24,NORDEX N 43 600,600.0,0.0,,0.0,,0.0,,0.0,,0.299,,0.405,,0.375,,0.406,,0.43,,0.427,,0.409,,0.375,,0.347,,0.299,,0.253,,0.206,,0.17,,0.142,,0.12,,0.1,,0.083,,0.072,,0.062,,0.054,,0.047,,0.041,0.0,,EMD Windpro,2013-11-21 11:51:08
25,NORDEX N 60 1300,1300.0,0.0,,0.0,,0.0,,0.0,,0.262,,0.337,,0.35,,0.406,,0.424,,0.425,,0.407,,0.378,,0.34,,0.295,,0.262,,0.223,,0.189,,0.16,,0.131,,0.111,,0.095,,0.082,,0.071,,0.062,,0.054,,0.048,0.0,,EMD Windpro,2013-11-21 11:51:08
26,FRISIA F 48,750.0,0.0,,0.0,,0.0,,0.0,,0.183,,0.328,,0.377,,0.395,,0.407,,0.416,,0.41,,0.397,,0.372,,0.308,,0.247,,0.2,,0.165,,0.138,,0.116,,0.099,,0.085,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,EMD Windpro,2013-11-21 11:51:07
27,NORDEX N 90 2500 HS,2500.0,0.0,,0.0,,0.0,,0.01,0.174,0.305,0.383,0.425,0.45,0.463,0.471,0.475,0.479,0.48,0.479,0.476,0.47,0.462,0.451,0.43,0.4,0.364,0.328,0.292,0.261,0.234,0.21,0.19,0.172,0.157,0.143,0.131,0.12,0.11,0.101,0.094,0.087,0.08,0.074,0.069,0.065,0.06,0.056,0.053,0.049,0.046,0.044,0.041,0.0,,EMD Windpro,2013-11-21 11:51:08
28,NORDEX N 90 2500 LS,2500.0,0.0,,0.0,,0.0,,0.01,0.221,0.337,0.4,0.435,0.454,0.465,0.471,0.475,0.478,0.477,0.473,0.465,0.455,0.442,0.427,0.409,0.385,0.355,0.323,0.291,0.261,0.234,0.21,0.19,0.172,0.157,0.143,0.131,0.12,0.11,0.101,0.094,0.087,0.08,0.074,0.069,0.065,0.06,0.056,0.053,0.049,0.046,0.044,0.041,0.037,0.0,EMD Windpro,2013-11-21 11:51:08
29,NORDEX N 100 2500,2500.0,0.0,,0.0,,0.0,,0.023,0.224,0.329,0.392,0.427,0.447,0.456,0.462,0.465,0.468,0.468,0.466,0.462,0.457,0.44,0.411,0.376,0.339,0.302,0.267,0.237,0.212,0.19,0.171,0.155,0.14,0.127,0.116,0.106,0.097,0.089,0.082,0.076,0.07,0.065,0.061,0.056,0.053,0.049,0.046,0.043,0.04,0.038,0.035,0.033,0.0,,EMD Windpro,2013-11-21 11:51:08
30,NORDEX N 100 3300,3300.0,0.0,,0.0,,0.0,,0.0,0.063,0.225,0.311,0.366,0.398,0.419,0.432,0.441,0.447,0.451,0.453,0.453,0.451,0.446,0.438,0.423,0.399,0.37,0.34,0.309,0.279,0.251,0.226,0.204,0.185,0.168,0.153,0.14,0.129,0.118,0.109,0.1,0.093,0.086,0.08,0.074,0.069,0.065,0.06,0.057,0.053,0.05,0.047,0.044,0.0,,EMD Windpro,2013-11-21 11:51:08
31,NORDTANK NTK 600,600.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.136,,0.317,,0.393,,0.422,,0.423,,0.392,,0.366,,0.334,,0.293,,0.244,,0.199,,0.162,,0.131,,0.108,,0.092,,0.08,,0.07,,0.062,,0.054,,0.048,0.0,0,,,EMD Windpro,2013-11-21 11:51:08
32,NORDEX N 117 3000,3000.0,0.0,,0.0,,0.0,,0.09,0.199,0.307,0.37,0.406,0.428,0.44,0.448,0.453,0.456,0.457,0.453,0.445,0.43,0.403,0.369,0.334,0.298,0.265,0.234,0.208,0.186,0.167,0.15,0.135,0.123,0.112,0.102,0.093,0.085,0.078,0.072,0.067,0.062,0.057,0.053,0.049,0.046,0.043,0.04,0.038,0.035,0.033,0.031,0.029,0.0,,EMD Windpro,2013-11-21 11:51:08
33,NORDTANK NTK 500,500.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.214,,0.35,,0.408,,0.428,,0.428,,0.416,,0.396,,0.366,,0.328,,0.286,,0.244,,0.204,,0.167,,0.135,,0.11,,0.091,,0.078,,0.068,,0.06,,0.054,,0.049,0.0,,EMD Windpro,2013-11-21 11:51:08
34,REPOWER MM 82 2050,2050.0,0.0,,0.0,,0.0,,0.0,,0.309,,0.393,,0.449,,0.461,,0.463,,0.465,,0.445,,0.395,,0.342,,0.281,,0.23,,0.188,,0.155,,0.129,,0.109,,0.092,,0.079,,0.068,,0.06,,0.052,,0.046,,0.041,0.0,,EMD Windpro,2013-11-21 11:51:08
35,REPOWER 3.0 M122,3000.0,0.0,,0.0,,0.0,,0.186,,0.358,,0.415,,0.442,,0.46,,0.453,,0.43,,0.387,,0.312,,0.275,,0.242,,0.191,,0.153,,0.124,,0.102,,0.085,,0.072,,0.061,,0.052,,0.045,,0.039,0.0,0,,0,,,EMD Windpro,2013-11-21 11:51:09
36,REPOWER 3.4 M104,3400.0,0.0,,0.0,,0.0,,0.0,0.166,0.282,,0.389,,0.426,,0.443,,0.458,,0.46,,0.444,,0.413,,0.366,,0.295,,0.238,,0.194,,0.16,,0.133,,0.112,,0.095,,0.082,,0.071,,0.061,,0.054,,0.047,,0.042,0.0,,EMD Windpro,2013-11-21 11:51:09
37,REPOWER 5M,5000.0,0.0,,0.0,,0.0,,0.0,0.162,0.258,,0.369,,0.393,,0.413,,0.419,,0.419,,0.415,,0.395,,0.36,,0.298,,0.239,,0.194,,0.16,,0.133,,0.112,,0.095,,0.082,,0.071,,0.061,,0.054,,0.047,,0.042,,0.041,EMD Windpro,2013-11-21 11:51:09
38,SIEMENS SWT 2.3 93,2300.0,0.0,,0.0,,0.0,,0.0,,0.371,,0.411,,0.432,,0.442,,0.446,,0.449,,0.445,,0.405,,0.322,,0.254,,0.203,,0.165,,0.136,,0.113,,0.096,,0.081,,0.07,,0.06,,0.052,,0.046,,0.04,,0.036,0.0,,EMD Windpro,2013-11-21 11:51:09
39,SIEMENS SWT 3.6 120,3600.0,0.0,,0.0,,0.0,,0.0,,0.363,,0.405,,0.424,,0.432,,0.435,,0.436,,0.42,,0.369,,0.298,,0.236,,0.189,,0.154,,0.127,,0.106,,0.089,,0.076,,0.065,,0.056,,0.049,,0.043,,0.038,,0.033,0.0,,EMD Windpro,2013-11-21 11:51:09
40,TACKE TW 600,600.0,0.0,,0.0,,0.0,,0.108,,0.351,,0.42,,0.41,,0.432,,0.431,,0.413,,0.385,,0.351,,0.311,,0.271,,0.235,,0.203,,0.172,,0.144,,0.121,,0.103,,0.088,,0.075,,0.067,,0.055,,0.049,,0.043,0.0,,EMD Windpro,2013-11-21 11:51:09
41,VENSYS 100,2500.0,0.0,,0.0,,0.0,,0.365,,0.409,,0.418,,0.423,,0.424,,0.422,,0.415,,0.397,,0.358,,0.299,,0.237,,0.19,,0.155,,0.127,,0.106,,0.089,,0.076,,0.065,,0.056,,0.049,,0.043,,0.038,,0.033,0.0,,EMD Windpro,2013-11-21 11:51:09
42,VENSYS 77,1500.0,0.0,,0.0,,0.0,,0.238,0.339,0.388,0.406,0.414,0.42,0.426,0.427,0.43,0.432,0.434,0.433,0.429,0.422,0.407,0.39,0.362,0.332,0.298,0.268,0.239,0.214,0.1919999523,0.1728149147,0.1561030724,0.141478398,0.1286249681,0.1172825487,0.107235471,0.0983039756,0.0903374261,0.0832089502,0.0768111779,0.0710528322,0.0658559836,0.0611538276,0.0568888748,0.0530114701,0.0494785752,0.0462527622,0.0433013783,0.0405958502,0.0381111016,0.035825064,0.034,0.0,,EMD Windpro,2013-11-21 11:51:09
43,VENSYS 109,2500.0,0.0,,0.0,,0.0,,0.355,0.398,0.414,0.416,0.418,0.42,0.421,0.421,0.42,0.419,0.419,0.417,0.414,0.402,0.384,0.357,0.322,0.286,0.253,0.224,0.1994492351,0.1780988546,0.1596902221,0.1437336404,0.129834065,0.1176704292,0.106979973,0.0975462547,0.0891898981,0.0817613937,0.0751354543,0.0692065575,0.0638854016,0.0590960697,0.0547737462,0.0508628684,0.0473156214,0.0440907059,0.0411523262,0.0384693526,0.0360146272,0.0337643851,0.0316977698,0.0297964263,0.028044158,0.0,,EMD Windpro,2013-11-21 11:51:09
